Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - January 10, 2021, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: January 4, 2021 - January 10, 2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Current Report Period,,,,,Cumulative Reports,,,,
,,,,,,,,,,"School Reported Source
of Infection",,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment as
of October 30,
2020","Approximate
District On Campus
Enrollment as of
October 30, 2020",Campus Name,"Campus
ID","Total School
Enrollment as
of October
30, 2020","On-Campus
Enrollment for
School as of
October 30, 2020","New
Student
Cases","New
Staff
Cases","On
MULESHOE ISD,'009901,1336,1277,WATSON J H,'009901041,327,308,,,,,,17,8,2,23,0
MULESHOE ISD,'009901,1336,1277,MULESHOE H S,'009901001,361,339,,,,,,54,7,0,61,0
MULESHOE ISD TOTAL,'009901,1336,1277,,,1336,1277,0,1,0,1,0,*,40,*,*,*
MEDINA ISD,'010901,281,274,MEDINA SCHOOL,'010901001,281,274,,,,,,0,2,0,2,0
MEDINA ISD TOTAL,'010901,281,274,,,281,274,,,,,,0,2,0,2,0
BANDERA ISD,'010902,2216,1959,ALKEK EL,'010902101,561,490,,,,,,*,0,*,*,*
BANDERA ISD,'010902,2216,1959,HILL COUNTRY EL,'010902102,459,416,,,,,,*,0,*,*,*
BANDERA ISD,'010902,2216,1959,BANDERA MIDDLE,'010902041,537,484,,,,,,9,3,2,8,2
BANDERA ISD,'010902,2216,1959,BANDERA H S,'010902001,659,569,,,,,,14,3,0,7,10
BANDERA ISD TOTAL,'010902,2216,1959,,,2216,1959,,,,,,*,6,*,*,*
BASTROP ISD,'011901,11441,7055,BASTROP INT,'011901104,801,505,,,,,,*,2,*,*,*
BASTROP ISD,'011901,11441,7055,CEDAR CREEK MIDDLE,'011901106,983,531,,,,,,*,1,*,*,*
BASTROP ISD,'011901,11441,7055,CEDAR CREEK INT,'011901108,920,524,,,,,,*,1,*,*,*
BASTROP ISD,'011901,11441,7055,"COLORADO RIVER COLLEGIATE
ACADEMY",'011901005,235,107,*,0,*,*,*,*,0,*,*,*
BASTROP ISD,'011901,11441,7055,RED ROCK EL,'011901107,630,418,*,0,*,*,*,*,4,*,*,*
BASTROP ISD,'011901,11441,7055,MINA EL,'011901102,663,476,0,3,0,3,0,*,7,*,*,*
BASTROP ISD,'011901,11441,7055,BLUEBONNET EL,'011901109,717,528,0,2,0,2,0,*,2,*,*,*
BASTROP ISD,'011901,11441,7055,LOST PINES EL,'011901110,643,475,0,3,1,0,2,*,4,*,*,*
BASTROP ISD,'011901,11441,7055,GENESIS H S,'011901022,140,31,0,1,0,1,0,0,1,0,1,0
BASTROP ISD,'011901,11441,7055,,"Multiple
Campus",NR,NR,0,1,0,1,0,0,5,0,2,3
BASTROP ISD,'011901,11441,7055,CEDAR CREEK EL,'011901103,840,493,0,2,1,1,0,6,7,2,10,1
BASTROP ISD,'011901,11441,7055,CEDAR CREEK H S,'011901002,1754,1027,,,,,,8,3,0,7,4
BASTROP ISD,'011901,11441,7055,BASTROP MIDDLE,'011901041,862,524,*,1,*,*,*,8,1,0,7,2
